rodada;atleta_id;apelido;posicao;clube;escalacoes;pontos
22;72018;Tiago Volpi;GOL;RBB;12;-0,70
22;105563;Carlos Vinícius;ATA;GRE;11;7,90
22;94968;Juninho Capixaba;LAT;RBB;11;5,70
22;84626;Josué;MEI;CFC;11;6,30
22;126977;Fernando Seabra;TEC;CFC;10;5,65
22;124912;Jonathan Jesus;ZAG;CRU;10;2,30
22;97878;Jacy;ZAG;CFC;9;1,90
22;93988;Breno Lopes;ATA;CFC;8;3,70
22;90302;Pedro Rocha;ATA;CFC;7;9,60
22;94583;Pedro;ATA;FLA;7;-0,30
22;105647;Maurício;MEI;PAL;6;2,40
22;143193;Viveros;ATA;CAP;6;17,90
22;110506;Abel Ferreira;TEC;PAL;6;6,31
22;82628;Tinga;LAT;CFC;5;5,30
22;125803;Pedro Morisco;GOL;CFC;4;1,60
22;100652;Yuri Alberto;ATA;COR;3;0,00
22;99274;Alexander Barboza;ZAG;PAL;3;9,70
22;101727;Matheuzinho;LAT;COR;2;18,50
22;104027;Rafael Guanaes;TEC;MIR;2;2,50
22;78850;Reinaldo;LAT;MIR;2;8,00
22;118844;Kaio César;ATA;COR;2;2,90
22;84735;Jorginho;MEI;FLA;2;3,70
22;84816;Varela;LAT;FLA;2;8,30
22;106708;Igor Formiga;LAT;MIR;2;1,50
22;103056;Gabriel Brazão;GOL;SAN;2;0,60
22;112886;Lucas Barbosa;ATA;RBB;2;2,80
22;141451;Allan;MEI;PAL;2;3,30
22;39850;Vagner Mancini;TEC;RBB;2;3,09
22;78248;Gustavo Henrique;ZAG;COR;2;5,00
22;113034;Freytes;ZAG;FLU;2;0,00
22;105436;Carrascal;MEI;FLA;1;14,50
22;39148;Hulk;ATA;FLU;1;1,60
22;89837;Lucho Acosta;MEI;FLU;1;1,50
22;97900;Vitão;ZAG;FLA;1;0,00
22;108683;Emiliano Martínez;MEI;PAL;1;5,90
22;93716;Paulo Henrique;LAT;VAS;1;7,50
22;84558;Lucas Romero;MEI;CRU;1;2,90
22;147090;Kauã Pascini;LAT;CAM;1;5,00
22;101290;Ferreira;ATA;SAO;1;7,40
22;72493;Alex Telles;LAT;BOT;1;10,30
22;80287;Luciano;ATA;SAO;1;3,40
22;107231;Danilo;MEI;BOT;1;7,10
22;103562;Guido Herrera;GOL;BAH;1;0,00
22;87225;Pedro Henrique;ZAG;RBB;1;4,30
22;78855;Thiago Santos;ZAG;CFC;1;2,30
22;110698;Mycael;GOL;CAP;1;7,60
22;97101;Gabriel Rojas;LAT;CRU;1;0,50
22;61987;Alex Sandro;LAT;FLA;1;0,00
22;92171;Arthur Cabral;ATA;BOT;1;4,60
22;106950;Fernando;LAT;CHA;1;1,20
22;142890;Montoro;MEI;BOT;1;3,40
22;123869;Aguirre;ZAG;CAP;1;8,00
22;102906;Anderson;GOL;CHA;1;0,60
22;82730;Marcelo Rangel;GOL;REM;1;-2,00
22;117404;Otávio;GOL;CRU;1;1,60
22;105047;João Marcelo;ZAG;CRU;1;10,40
22;91573;Arboleda;ZAG;SAO;1;0,40
22;98225;Pedro Raul;ATA;COR;1;10,50
22;84339;Bruno Melo;LAT;CFC;1;-0,80
22;91772;David Duarte;ZAG;BAH;1;8,00
22;95556;Raniele;MEI;COR;1;3,50
22;132580;Vinicinho;ATA;RBB;1;3,00
22;132071;Serna;ATA;FLU;1;7,90
22;101908;Willian Machado;ZAG;MIR;1;0,00
22;68708;Eduardo;MEI;MIR;1;0,80
22;51413;Walter;GOL;MIR;1;0,00
22;100987;Nonato;MEI;FLU;1;2,80
22;145404;Arthur;LAT;PAL;1;0,00
22;99889;Alan Franco;ZAG;OUT;1;0,00
22;98280;Bastos;ZAG;OUT;1;0,00
22;42500;Fagner;LAT;CRU;1;11,10
22;112863;Ramón Sosa;ATA;PAL;1;-0,40
22;117632;Garro;MEI;COR;1;9,30
22;132412;Román Gómez;LAT;BAH;1;8,90
22;100848;Luan Cândido;LAT;VIT;1;0,00
22;131832;Portilla;MEI;CAP;1;0,00
22;98672;Savarino;MEI;FLU;1;3,00
22;72391;Fernando Diniz;TEC;COR;1;8,00
22;117910;Breno Bidon;MEI;COR;1;2,90
22;97341;Rogério Ceni;TEC;BAH;1;5,96
22;98517;Jean Lucas;MEI;BAH;1;3,50
22;103523;Ignácio;ZAG;FLU;1;12,70
23;143193;Viveros;ATA;CAP;46;0,00
23;110426;Bernabei;LAT;INT;43;0,00
23;99815;Arias;MEI;PAL;43;1,40
23;68685;Alan Patrick;MEI;INT;40;0,00
23;91573;Arboleda;ZAG;SAO;35;0,00
23;63007;Neymar;MEI;SAN;32;0,00
23;94583;Pedro;ATA;FLA;27;0,00
23;92273;Odair Hellmann;TEC;CAP;22;0,00
23;123869;Aguirre;ZAG;CAP;19;0,00
23;114802;Vitor Roque;ATA;PAL;17;-0,60
23;115479;Paulo Pezzolano;TEC;INT;16;0,00
23;130843;Arthur Dias;ZAG;CAP;16;0,00
23;106822;Rodrigo Nestor;MEI;BAH;14;0,00
23;113103;Flaco López;ATA;PAL;13;3,00
23;96591;Renan Lodi;LAT;CAM;12;0,00
23;104118;Lucas Arcanjo;GOL;VIT;12;0,00
23;89840;Calleri;ATA;SAO;11;0,00
23;104084;Carlos Miguel;GOL;PAL;10;2,90
23;99552;Rossi;GOL;FLA;8;0,00
23;97653;Murilo;ZAG;PAL;7;3,60
23;91772;David Duarte;ZAG;BAH;7;0,00
23;116706;Andrés Gómez;ATA;VAS;7;0,00
23;69012;Santos;GOL;CAP;6;0,00
23;80287;Luciano;ATA;SAO;6;0,00
23;102130;Piquerez;LAT;PAL;6;3,70
23;111690;Matheus Cunha;GOL;INT;5;0,00
23;80313;Gilberto;LAT;CAP;5;0,00
23;101727;Matheuzinho;LAT;COR;4;0,00
23;141451;Allan;MEI;PAL;4;1,10
23;107093;Luciano Juba;LAT;BAH;4;0,00
23;82775;Lucas Ramon;LAT;SAO;4;0,00
23;107989;Carbonero;ATA;INT;4;0,00
23;132412;Román Gómez;LAT;BAH;4;0,00
23;100652;Yuri Alberto;ATA;COR;3;0,00
23;113113;Benavídez;LAT;CAP;3;0,00
23;98873;Samuel Lino;ATA;FLA;3;0,00
23;91101;Ronaldo;GOL;BAH;3;0,00
23;104027;Rafael Guanaes;TEC;MIR;2;0,00
23;87863;Arrascaeta;MEI;FLA;2;0,00
23;118844;Kaio César;ATA;COR;2;0,00
23;39148;Hulk;ATA;FLU;2;11,30
23;88393;Ayrton Lucas;LAT;FLA;2;0,00
23;97341;Rogério Ceni;TEC;BAH;2;0,00
23;40990;Dorival Júnior;TEC;SAO;2;0,00
23;88963;Leonardo Jardim;TEC;FLA;2;0,00
23;71684;Gustavo Gómez;ZAG;PAL;2;11,50
23;98672;Savarino;MEI;FLU;2;0,00
23;117910;Breno Bidon;MEI;COR;2;0,00
23;72493;Alex Telles;LAT;BOT;2;0,00
23;113034;Freytes;ZAG;FLU;2;0,00
23;105436;Carrascal;MEI;FLA;1;0,00
23;78850;Reinaldo;LAT;MIR;1;0,00
23;97900;Vitão;ZAG;FLA;1;0,00
23;89837;Lucho Acosta;MEI;FLU;1;-1,30
23;106294;Marcos Antônio;MEI;SAO;1;0,00
23;97867;Léo Ortiz;ZAG;FLA;1;0,00
23;97899;Matheus Bahia;LAT;INT;1;0,00
23;95799;Artur;ATA;SAO;1;0,00
23;107231;Danilo;MEI;BOT;1;0,00
23;124912;Jonathan Jesus;ZAG;CRU;1;0,00
23;89274;Andreas Pereira;MEI;PAL;1;0,00
23;72294;Everson;GOL;CAM;1;0,00
23;97145;Villasanti;MEI;GRE;1;0,00
23;130048;Noriega;ZAG;GRE;1;0,00
23;72951;Mercado;ZAG;INT;1;0,00
23;103562;Guido Herrera;GOL;BAH;1;0,00
23;89493;Igor Rabello;ZAG;FLU;1;4,50
23;71123;Thiago Mendes;MEI;VAS;1;0,00
23;68872;Marcelo Lomba;GOL;PAL;1;0,00
23;97095;Carlos Cuesta;ZAG;VAS;1;0,00
23;105584;Lucas Piton;LAT;VAS;1;0,00
23;128177;Pedro Emanuel;TEC;VAS;1;0,00
23;106708;Igor Formiga;LAT;MIR;1;0,00
23;101908;Willian Machado;ZAG;MIR;1;0,00
23;126977;Fernando Seabra;TEC;CFC;1;0,00
23;51413;Walter;GOL;MIR;1;0,00
23;68708;Eduardo;MEI;MIR;1;0,00
23;132071;Serna;ATA;FLU;1;0,00
23;95556;Raniele;MEI;COR;1;0,00
23;100987;Nonato;MEI;FLU;1;0,00
23;82628;Tinga;LAT;CFC;1;0,00
23;132580;Vinicinho;ATA;RBB;1;0,00
23;117632;Garro;MEI;COR;1;0,00
23;42500;Fagner;LAT;CRU;1;0,00
23;96610;Matheus Pereira;MEI;CRU;1;0,00
23;99889;Alan Franco;ZAG;OUT;1;0,00
23;98280;Bastos;ZAG;OUT;1;0,00
23;145404;Arthur;LAT;PAL;1;0,50
23;112863;Ramón Sosa;ATA;PAL;1;2,00
23;39850;Vagner Mancini;TEC;RBB;1;0,00
23;101574;Hugo Souza;GOL;COR;1;0,00
23;83528;Léo Pereira;ZAG;FLA;1;0,00
23;100848;Luan Cândido;LAT;VIT;1;0,00
23;131832;Portilla;MEI;CAP;1;0,00
23;105647;Maurício;MEI;PAL;1;0,00
23;105563;Carlos Vinícius;ATA;GRE;1;0,00
23;78248;Gustavo Henrique;ZAG;COR;1;0,00
23;72391;Fernando Diniz;TEC;COR;1;0,00
23;106202;Bruno Gomes;MEI;INT;1;0,00
23;98617;Maripán;ZAG;INT;1;0,00
23;110708;Pedro Rangel;GOL;CFC;1;0,00
23;84816;Varela;LAT;FLA;1;0,00
23;98517;Jean Lucas;MEI;BAH;1;0,00
